1,2,3
4,3,5
6,7,8
4,8,9
10,6,5
11,12,13
10,13,14
10,15,7
16,17,18
19,18,20
21,22,23
19,23,24
25,24,23
26,23,22
26,27,28
26,29,30
31,32,2
31,1,9
31,33,20
31,18,17
33,9,8
34,8,7
34,35,22
21,20,33
35,7,15
15,14,36
37,36,28
27,22,35
36,14,13
38,13,12
39,30,29
29,28,36
40,39,12
11,5,41
41,24,25
40,25,30
41,5,3
3,2,32
42,32,17
42,16,24
4,1,3
6,4,5
4,6,8
1,4,9
11,10,5
10,11,13
15,10,14
6,10,7
19,16,18
21,19,20
19,21,23
16,19,24
26,25,23
27,26,22
29,26,28
25,26,30
1,31,2
33,31,9
18,31,20
32,31,17
34,33,8
35,34,7
21,34,22
34,21,33
37,35,15
37,15,36
27,37,28
37,27,35
38,36,13
39,38,12
38,39,29
38,29,36
11,40,12
40,11,41
40,41,25
39,40,30
42,41,3
42,3,32
16,42,17
41,42,24
